title,url,thumbnail_url,channel,views,uploaded_time,scraped_time,description
Megan Moroney - Tennessee Orange (Official Video),https://www.youtube.com/watch?v=MPacja3hGdA,https://i.ytimg.com/vi/MPacja3hGdA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDQi718vwxUdRxgPrjUIDEQLrJ3eA,Megan Moroney,1.8M,3 weeks ago,08/02/2023,"Official Video for ""Tennessee Orange"" by Megan Moroney. Listen to “Tennessee Orange” out now: https://mm.lnk.to/TennesseeOrangeAY Listen On: Apple Music: https://mm.lnk.to/TennesseeOrangeAY/..."
I Bought a Porsche Carrera GT – My All-Time Dream Car!,https://www.youtube.com/watch?v=ZDXWUGsFkKU,https://i.ytimg.com/vi/ZDXWUGsFkKU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD5hkglxLJFA6LnjXq2UA81C01HyQ,Doug DeMuro,575K,13 hours ago,08/02/2023,CHECK OUT CARS & BIDS! https://carsandbids.com I bought a Porsche Carrera GT! The Porsche Carrera GT is my all-time dream car -- I've wanted one for almost 18 years. And I bought one! Today...
Destiny 2: Lightfall | Strand Trailer,https://www.youtube.com/watch?v=jgv00uCRt60,https://i.ytimg.com/vi/jgv00uCRt60/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDGYKIprDKw395GrTq3d76NXvS23w,Destiny 2,604K,15 hours ago,08/02/2023,Shattered glass glints in the starlight. Soldiers of the Shadow Legion battle with Guardians under the unmistakable shadows of the fleet overhead—the Witness and its newest disciple are here....
Why China is losing the microchip war,https://www.youtube.com/watch?v=Uh4QGey2zTk,,Vox,1.1M,17 hours ago,08/02/2023,"And why the US and China are fighting over silicon in the first place. Subscribe and turn on notifications 🔔 so you don't miss any videos: http://goo.gl/0bsAjO In October 2022, the Biden..."
Hogwarts Legacy - Before You Buy,https://www.youtube.com/watch?v=4vBOp8Fagyo,,gameranx,1.7M,1 day ago,08/02/2023,"Hogwarts Legacy (PC, PS5, Xbox Series X/S) is an open world action RPG set within the world of Harry Potter. How is it? Let's talk. Subscribe for more: http://youtube.com/gameranxtv ▼ Video..."
Apex Legends: Revelry Launch Trailer,https://www.youtube.com/watch?v=lpN3tJTz9kE,,Apex Legends,2.1M,1 day ago,08/02/2023,"To celebrate another anniversary of the Apex Games, Duardo Silva's throwing quite the party. But Mad Maggie never met a Syndicate event she didn't want to crash. http://x.ea.com/76084 Apex..."
Cody Rhodes and Paul Heyman Get Personal | WWE Raw Highlights 2/6/23 | WWE on USA,https://www.youtube.com/watch?v=EGDXvkriDZE,,WWE on USA,816K,1 day ago,08/02/2023,An emotional and intense promo from Cody Rhodes and Paul Heyman. WWE Raw Highlights 2/6/23. Watch WWE Raw Monday nights at 8/7c on USA Network. WWE now streaming on Peacock. ►► SUBSCRIBE:...
10 Things You SHOULD Be Buying at Costco in February 2023,https://www.youtube.com/watch?v=g7lhR6jy5zM,,The Deal Guy,231K,14 hours ago,08/02/2023,So many people have shopped at Costco but not taking advantage of the best products they have! Watch this video and see what you're missing out on in Costco February 2023! I've been shopping...
Finding Out I'm Pregnant!,https://www.youtube.com/watch?v=4zF-4LwCEHk,,Jatie Vlogs,551K,1 day ago,08/02/2023,"Finding Out I'm Pregnant! So happy we can finally share all of this with the jatie fam, feels like we've been keeping it a secret for so long! ALL THINGS JATIE: https://linktr.ee/katiebrueckner..."
Hogwarts Legacy Review,https://www.youtube.com/watch?v=F6dZxoob8CY,,IGN,1.7M,1 day ago,08/02/2023,"Hogwarts Legacy reviewed by Travis Northup on PlayStation 5, Xbox Series X, and PC. In nearly every way, Hogwarts Legacy is the Harry Potter RPG I’ve always wanted to play. Its open-world..."
